Month,Max Temp (°F),Min Temp (°F),Mean Temp (°F),Precipitation (in),Heating Degree Days,Cooling Degree Days
"20100401April, 2010",55.2,42.7,67.7,3.7,303,13
"20100301March, 2010",38.4,29.1,47.7,1.72,808,
"20100201February, 2010",17.3,8.5,26.2,0.96,"1,327",
"20100101January, 2010",13.6,6.9,20.2,1.3,"1,583",
"20091201December, 2009",19.8,12.2,27.5,2.54,"1,381",
"20091101November, 2009",43.4,33.7,53.2,1.19,643,
"20091001October, 2009",44.9,36.7,53.2,6.35,612,
"20090901September, 2009",63.3,51.6,75.1,1.73,111,63
"20090801August, 2009",68.3,58,78.6,5.75,46,149
"20090701July, 2009",68,57.6,78.3,4.62,47,135
"20090601June, 2009",68.9,58.6,79.2,5.29,38,160
"20090501May, 2009",59.8,48.3,71.3,3.64,210,50
"20090401April, 2009",47,35.5,58.4,3.6,535,
"20090301March, 2009",37.1,26.6,47.6,2.97,853,
"20090201February, 2009",26.7,16.5,36.9,0.79,"1,075",
"20090101January, 2009",13.2,3.2,23.2,0.68,"1,620",
"20081201December, 2008",17.6,7.6,27.6,1.88,"1,468",
"20081101November, 2008",37.3,28.4,46.1,1.72,825,
"20081001October, 2008",50.7,39.4,62,3.26,445,3
"20080901September, 2008",63.5,52.6,74.4,4.16,106,68
"20080801August, 2008",69.9,58.4,81.4,1.96,32,181
"20080701July, 2008",73.1,62.7,83.6,5.88,11,260
"20080601June, 2008",69.3,58.6,80.1,8.88,35,168
"20080501May, 2008",57.4,45.4,69.3,5.67,267,30
"20080401April, 2008",46,35.8,56.1,5.86,557,
"20080301March, 2008",32.6,23.3,41.9,1.26,"1,008",
"20080201February, 2008",17,8.2,25.8,1.71,"1,344",
"20080101January, 2008",16.6,7.8,25.4,0.68,"1,492",
"20071201December, 2007",20.3,13,27.6,2.44,"1,374",
"20071101November, 2007",37.2,26.6,47.7,0.18,831,
"20071001October, 2007",55.9,45.7,66.1,5.1,294,19
"20070901September, 2007",64.7,52.1,77.4,2.87,87,86
"20070801August, 2007",74.2,64.4,83.9,9.69,9,297
"20070701July, 2007",73.7,62.2,85.1,3.38,10,270
"20070601June, 2007",70.4,59.2,81.6,3.38,26,188
"20070501May, 2007",64.7,53.2,76.2,5.35,120,116
"20070401April, 2007",46.7,35.6,57.9,4.57,548,
"20070301March, 2007",41.8,32.3,51.3,2.86,722,5
"20070201February, 2007",15.5,7.7,23.3,1.68,"1,392",
"20070101January, 2007",21.6,12.8,30.3,0.91,"1,332",
"20061201December, 2006",31.1,22.1,40.1,2.09,"1,045",
"20061101November, 2006",39.3,28.7,50,1.77,758,
"20061001October, 2006",47.9,37.2,58.6,1.64,529,
"20060901September, 2006",60,49.3,70.7,4.22,174,29
"20060801August, 2006",72.1,62.3,81.8,5.75,17,238
"20060701July, 2006",75.9,64.6,87.3,3.22,2,340
"20060601June, 2006",70,58.3,81.8,2.49,32,176
"20060501May, 2006",60.6,49.5,71.7,2.44,196,57
"20060401April, 2006",53.8,41.6,65.9,4.3,345,9
"20060301March, 2006",36.5,27.2,45.8,3.17,877,
"20060201February, 2006",25.1,14.1,36.2,0.32,"1,113",
"20060101January, 2006",32.4,24.9,39.9,0.99,"1,007",
"20051201December, 2005",19.5,12.7,26.4,1.17,"1,415",
"20051101November, 2005",39.6,28.9,50.3,1.75,760,
"20051001October, 2005",52.6,40.3,64.9,0.91,390,8
"20050901September, 2005",67.6,55,80.2,3.29,51,129
"20050801August, 2005",71.5,60,82.9,3.02,21,222
"20050701July, 2005",74.7,63.5,86,3.27,6,305
"20050601June, 2005",72.6,61.9,83.4,5.25,14,250
"20050501May, 2005",57.8,46.2,69.4,3.85,260,33
"20050401April, 2005",53.4,41.4,65.3,3.45,352,9
"20050301March, 2005",36,25,47,1.05,896,
"20050201February, 2005",31.2,22.8,39.6,1.52,945,
"20050101January, 2005",18.9,11.6,26.2,1.31,"1,423",
"20041201December, 2004",26.6,17,36.1,0.58,"1,191",
"20041101November, 2004",40.6,31.5,49.7,2.21,727,
"20041001October, 2004",51.9,41.2,62.7,2.05,413,6
"20040901September, 2004",66.4,53.7,79.1,2.66,67,106
"20040801August, 2004",66.2,55.4,77.1,4.56,74,111
"20040701July, 2004",70.5,60.5,80.5,4.33,23,193
"20040601June, 2004",67,56.5,77.4,3.55,58,124
"20040501May, 2004",60.7,49.4,71.9,7.74,191,62
"20040401April, 2004",51.1,37.7,64.5,1.85,421,2
"20040301March, 2004",40.8,31.6,50,3.75,749,2
"20040201February, 2004",22.7,14.5,30.9,1.17,"1,173",
"20040101January, 2004",17.7,8.7,26.7,0.96,"1,460",
"20031201December, 2003",28.2,20.6,35.7,1.28,"1,134",
"20031101November, 2003",35.9,27.1,44.7,3.46,861,
"20031001October, 2003",52.4,38.9,65.8,1,403,7
"20030901September, 2003",61.1,48.1,74,3.11,151,38
"20030801August, 2003",74.1,61.9,86.4,1.03,10,291
"20030701July, 2003",73.1,62.2,84,4.11,11,257
"20030601June, 2003",67.3,56.2,78.4,4.48,57,125
"20030501May, 2003",57.9,46.6,69.2,4.61,252,34
"20030401April, 2003",50.4,38.5,62.3,3.25,439,1
"20030301March, 2003",35.1,24.1,46,1.15,931,
"20030201February, 2003",20.4,9.6,31.2,0.82,"1,249",
"20030101January, 2003",19.1,9.4,28.7,0.39,"1,424",
"20021201December, 2002",28.9,18.7,39.1,0.24,"1,116",
"20021101November, 2002",34.7,24.8,44.6,0.22,904,
"20021001October, 2002",46.2,36.4,56,3.58,570,
"20020901September, 2002",65.3,52.8,77.8,1.71,79,94
"20020801August, 2002",70.9,60.1,81.6,5.81,25,205
"20020701July, 2002",76.5,65.6,87.4,4.24,1,353
"20020601June, 2002",72.4,61.4,83.3,3.51,17,232
"20020501May, 2002",56.8,44.6,69.1,4.1,277,28
