Month,Max Temp (°F),Min Temp (°F),Mean Temp (°F),Precipitation (in),Heating Degree Days,Cooling Degree Days
"19470401April, 1947",45.7,35.1,56.4,4.91,570,
"19470301March, 1947",30.4,21.9,38.9,1.35,"1,070",
"19470201February, 1947",16.6,7.1,26,0.3,"1,356",
"19470101January, 1947",24,14.2,33.7,1.43,"1,270",
"19461201December, 1946",27.4,17.1,37.8,0.62,"1,151",
"19461101November, 1946",36.1,26,46.2,1.73,854,
"19461001October, 1946",54.2,42.2,66.2,3.31,334,13
"19460901September, 1946",62.1,50.2,73.9,5.02,133,49
"19460801August, 1946",67.9,56.8,79,3.6,53,138
"19460701July, 1946",73.1,61.6,84.7,2.48,11,259
"19460601June, 1946",69,57.5,80.6,6.25,38,158
"19460501May, 1946",55.7,44.5,67,4.52,307,21
"19460401April, 1946",52.8,39.9,65.6,1.14,372,7
"19460301March, 1946",45.6,34.8,56.4,4.03,611,12
"19460201February, 1946",27,15.9,38.2,0.37,"1,063",
"19460101January, 1946",20.8,11,30.6,1.79,"1,363",
"19451201December, 1945",16.1,8.6,23.7,1.96,"1,505",
"19451101November, 1945",35,24.8,45.2,1.28,897,
"19451001October, 1945",50.5,37.7,63.4,0.34,456,3
"19450901September, 1945",61.8,50.4,73.1,4.21,142,45
"19450801August, 1945",71.5,60.2,82.7,3.25,21,218
"19450701July, 1945",71.4,59.4,83.4,3,18,216
"19450601June, 1945",63.4,53.3,73.4,4.66,111,69
"19450501May, 1945",54.3,43,65.5,6.16,348,16
"19450401April, 1945",47.5,36.4,58.6,4.41,512,
"19450301March, 1945",44,32,55.9,2.83,642,10
"19450201February, 1945",23.9,15,32.8,1.44,"1,151",
"19450101January, 1945",17.4,9.6,25.2,0.67,"1,489",
"19441201December, 1944",18.7,10.6,26.7,1.24,"1,444",
"19441101November, 1944",38.6,31.9,45.3,1.67,783,
"19441001October, 1944",52.3,39.5,65.2,1.01,401,7
"19440901September, 1944",63.2,52.3,74.1,2.25,110,66
"19440801August, 1944",70.9,60.2,81.7,5.73,22,212
"19440701July, 1944",72,59.8,84.2,3.73,15,231
"19440601June, 1944",71,60.7,81.4,5.72,22,207
"19440501May, 1944",63.8,52.9,74.7,6.22,136,102
"19440401April, 1944",43.8,34,53.6,4.42,626,
"19440301March, 1944",28.9,20.9,36.9,2.51,"1,108",
"19440201February, 1944",25.2,14.3,36,1.09,"1,108",
"19440101January, 1944",28.2,17.1,39.2,1.07,"1,144",
"19431201December, 1943",24.4,14,34.8,0.52,"1,254",
"19431101November, 1943",31.9,22.6,41.2,1.06,989,
"19431001October, 1943",50.3,37.2,63.3,1.63,460,1
"19430901September, 1943",59,46.8,71.2,2.22,204,21
"19430801August, 1943",72.9,62.3,83.6,5.06,14,258
"19430701July, 1943",74.7,62.9,86.5,4.55,5,307
"19430601June, 1943",70.8,60.8,80.8,6.01,23,202
"19430501May, 1943",56.8,45.8,67.7,4.35,279,27
"19430401April, 1943",47.7,35.1,60.3,2.6,528,
"19430301March, 1943",29.6,18,41.3,1.55,"1,089",
"19430201February, 1943",25.8,14.4,37.1,0.77,"1,108",
"19430101January, 1943",14.6,5.4,23.9,0.77,"1,549",
"19421201December, 1942",18.4,10.4,26.3,1.53,"1,444",
"19421101November, 1942",36.9,26.5,47.3,1.73,840,
"19421001October, 1942",51.6,38.5,64.8,1.48,420,6
"19420901September, 1942",60.2,49.7,70.7,4.1,171,32
"19420801August, 1942",71.3,60,82.5,3.22,22,213
"19420701July, 1942",73.6,62.1,85.1,5.08,9,275
"19420601June, 1942",69,58.6,79.4,5.89,37,162
"19420501May, 1942",58.5,47.7,69.3,4.67,234,41
"19420401April, 1942",53.6,40.1,67,1.07,350,9
"19420301March, 1942",37,28.4,45.6,1.99,858,
"19420201February, 1942",21.9,14.3,29.5,1.09,"1,201",
"19420101January, 1942",19.7,10.8,28.6,0.73,"1,411",
"19411201December, 1941",30.3,22.1,38.6,1.85,"1,064",
"19411101November, 1941",38.2,28.6,47.7,1.83,794,
"19411001October, 1941",53.1,42.7,63.5,5.81,374,9
"19410901September, 1941",65.4,54,76.8,7.43,80,94
"19410801August, 1941",74.1,61.5,86.8,2,10,290
"19410701July, 1941",74.5,62,87,2.21,7,298
"19410601June, 1941",69.3,58.9,79.8,6.14,34,168
"19410501May, 1941",65.4,52.8,77.9,3.16,113,124
"19410401April, 1941",52.7,41.6,63.8,2.52,369,7
"19410301March, 1941",32.1,22.8,41.4,1.02,"1,021",
"19410201February, 1941",20.6,11.4,29.9,0.49,"1,242",
"19410101January, 1941",21.7,14.2,29.2,1.69,"1,332",
"19401201December, 1940",26.4,19.1,33.7,1.36,"1,186",
"19401101November, 1940",31.6,22.3,41,2.51,988,
"19401001October, 1940",56.5,42.9,70,2.32,292,20
"19400901September, 1940",64.9,51.7,78,0.87,93,80
"19400801August, 1940",69.7,59.9,79.5,6.42,31,184
"19400701July, 1940",76.1,63,89.2,4.57,2,346
"19400601June, 1940",70.6,58.6,82.7,3.67,24,200
"19400501May, 1940",57.6,44.4,70.7,2.02,264,31
"19400401April, 1940",46.4,34.9,57.8,3.15,555,
"19400301March, 1940",30.2,22,38.4,1.7,"1,077",
"19400201February, 1940",22.8,14.8,30.7,1.11,"1,173",
"19400101January, 1940",6.6,-2.3,15.6,0.81,"1,794",
"19391201December, 1939",30.7,20.4,40.9,0.6,"1,061",
"19391101November, 1939",38.1,25.9,50.3,0.49,809,
"19391001October, 1939",52.2,38.7,65.7,1.48,398,7
"19390901September, 1939",68.2,53.5,83,0.84,46,139
"19390801August, 1939",69.9,57.8,82,4.67,31,181
"19390701July, 1939",75.6,63.1,88.1,3.2,3,326
"19390601June, 1939",70.8,59.6,82,4.92,24,198
"19390501May, 1939",65.7,51.8,79.6,2.04,110,127
"19390401April, 1939",46.7,34.7,58.8,2,549,
"19390301March, 1939",35.2,23.8,46.5,1.63,920,
"19390201February, 1939",18.8,6.8,30.7,1.77,"1,271",
"19390101January, 1939",26.7,17.9,35.5,0.86,"1,179",
"19381201December, 1938",24.6,15.7,33.4,0.69,"1,251",
"19381101November, 1938",35.7,25.2,46.3,2.7,861,
"19381001October, 1938",58.2,44.2,72.1,0.85,246,30
"19380901September, 1938",65.8,53.3,78.2,5.95,78,96
"19380801August, 1938",74.8,62.7,86.9,3.5,8,309
"19380701July, 1938",75.9,63.5,88.3,4.57,2,340
"19380601June, 1938",68.6,57,80.2,4.57,44,148
"19380501May, 1938",58.8,48.1,69.5,5.49,229,43
"19380401April, 1938",49.2,38.6,59.9,3.62,470,
"19380301March, 1938",42.3,30.8,53.8,2.33,698,7
"19380201February, 1938",27.4,18.7,36,0.95,"1,028",
"19380101January, 1938",18.9,9.8,28,1.1,"1,427",
"19371201December, 1937",20.9,12.8,28.9,0.74,"1,365",
"19371101November, 1937",32.1,21,43.2,0.71,986,
"19371001October, 1937",49,37.4,60.6,2.09,494,1
"19370901September, 1937",64.9,50.8,78.9,1.54,92,81
"19370801August, 1937",76.9,64.7,89.1,4.11,1,365
"19370701July, 1937",75.3,62.3,88.3,2.52,3,319
"19370601June, 1937",68.2,56.9,79.6,3.72,46,145
"19370501May, 1937",61.2,49.7,72.6,3.97,185,64
"19370401April, 1937",46.6,36.9,56.3,3.19,547,
"19370301March, 1937",31.7,22.8,40.5,1.65,"1,030",
"19370201February, 1937",18,8.6,27.5,1.02,"1,304",
"19370101January, 1937",10.7,0.2,21.2,2.24,"1,644",
"19361201December, 1936",26.8,17.9,35.7,1.51,"1,170",
"19361101November, 1936",33.8,22.9,44.6,0.66,935,
"19361001October, 1936",49.6,38.2,60.9,1.6,474,1
"19360901September, 1936",67,56,77.9,6.99,60,118
"19360801August, 1936",78.2,63.9,92.5,3.49,1,403
"19360701July, 1936",82.7,66.9,98.4,0.56,,535
"19360601June, 1936",69.3,55.9,82.8,2.86,39,162
"19360501May, 1936",65.5,53.2,77.9,2.78,108,129
"19360401April, 1936",44.6,32.2,57.1,1.08,609,
"19360301March, 1936",37.8,26.6,49,1.02,834,
"19360201February, 1936",4.4,-5.7,14.4,1.33,"1,678",
"19360101January, 1936",7.6,-1.2,16.4,1.66,"1,760",
"19351201December, 1935",20.6,12.9,28.3,0.94,"1,381",
"19351101November, 1935",32.2,24.1,40.3,2.69,972,
"19351001October, 1935",49.6,37.4,61.8,2.67,470,1
"19350901September, 1935",64,51.5,76.4,3.34,102,71
"19350801August, 1935",72.7,60.7,84.7,2.48,15,248
"19350701July, 1935",78.8,67.2,90.5,3.27,,421
"19350601June, 1935",65.2,54.5,75.8,6.99,86,92
"19350501May, 1935",54.2,44.2,64.2,4.53,345,16
"19350401April, 1935",45.6,35.6,55.6,1.94,576,
"19350301March, 1935",39.4,28.8,50,1.42,793,1
"19350201February, 1935",27.7,20.2,35.1,1.13,"1,052",
"19350101January, 1935",18.6,9.7,27.5,1.13,"1,431",
"19341201December, 1934",19.6,11.8,27.6,0.59,"1,401",
"19341101November, 1934",40.1,31.2,49.1,4.92,736,
"19341001October, 1934",55.3,42.4,68.2,1.52,317,16
"19340901September, 1934",59.9,48,71.9,4.97,173,30
"19340801August, 1934",72.3,58.7,85.9,2.83,21,236
"19340701July, 1934",78.9,65.5,92.3,4.09,,428
"19340601June, 1934",76.5,62.2,90.7,3.45,3,361
"19340501May, 1934",69,53.3,84.6,0.96,66,182
"19340401April, 1934",49.2,35.8,62.6,1.01,474,
"19340301March, 1934",33.2,21.1,45.3,1.1,985,
"19340201February, 1934",23.5,12.5,34.5,0.45,"1,171",
"19340101January, 1934",24.8,16.1,33.6,0.84,"1,233",
"19331201December, 1933",25.2,15.1,35.3,1.01,"1,226",
"19331101November, 1933",36,24.3,47.8,0.33,872,
"19331001October, 1933",48.9,36.6,61.2,1.32,501,
"19330901September, 1933",68.4,56,80.9,4.16,40,150
"19330801August, 1933",69.6,57.3,81.8,2.92,33,178
"19330701July, 1933",75.5,62.9,88.2,3.54,2,328
"19330601June, 1933",77.1,62.7,91.6,1.52,1,361
"19330501May, 1933",59.8,48.8,70.7,4.24,209,51
"19330401April, 1933",47.7,35.6,59.7,1.19,520,
"19330301March, 1933",34.8,24.7,44.8,3.05,929,
"19330201February, 1933",20.8,9.2,32.5,0.32,"1,228",
"19330101January, 1933",30.4,20.4,40.5,0.9,"1,061",
"19321201December, 1932",20.1,11,29.2,1.38,"1,375",
"19321101November, 1932",31.4,21,41.7,1.51,"1,004",
"19321001October, 1932",48.4,36.8,60.1,1.77,510,
"19320901September, 1932",61.1,47.8,74.4,2.1,152,38
"19320801August, 1932",71.4,60.2,82.6,6.76,21,217
"19320701July, 1932",75.2,62.9,87.6,3.08,2,322
"19320601June, 1932",71.3,60.1,82.5,5.14,20,212
"19320501May, 1932",61.7,48.8,74.6,3.92,173,72
"19320401April, 1932",48.9,37.1,60.6,1.9,488,
"19320301March, 1932",27.1,17.8,36.3,1.42,"1,171",
"19320201February, 1932",27.2,16.9,37.6,0.8,"1,033",
"19320101January, 1932",20.5,12.6,28.3,1.89,"1,347",
"19311201December, 1931",32.2,25.5,38.9,2.4,"1,006",
"19311101November, 1931",42,32.5,51.6,5.75,671,
"19311001October, 1931",55.6,45.6,65.7,2.97,301,18
"19310901September, 1931",70,58.3,81.8,6.74,28,178
"19310801August, 1931",71.8,58.7,84.9,3.14,19,228
"19310701July, 1931",76.6,63.3,89.9,2.61,1,366
"19310601June, 1931",74.4,62.6,86.2,3.45,8,289
"19310501May, 1931",56.8,44,69.6,2.91,283,26
"19310401April, 1931",50,36.8,63.1,2.27,451,
"19310301March, 1931",33.7,24,43.4,1.63,966,
"19310201February, 1931",34,23,45,0.23,870,
"19310101January, 1931",27.1,17.1,37.2,0.5,"1,178",
"19301201December, 1930",24.8,17,32.7,0.55,"1,251",
"19301101November, 1930",39.5,27.6,51.3,2.15,763,
"19301001October, 1930",49.5,39.1,59.9,2.04,481,1
"19300901September, 1930",65.2,51.4,79.1,2.44,80,95
"19300801August, 1930",73.6,60.6,86.6,2.35,11,278
"19300701July, 1930",77.3,63.6,91,1.52,1,376
"19300601June, 1930",68.3,56.2,80.4,5.7,43,148
"19300501May, 1930",59.4,47.8,71.1,3.76,214,49
"19300401April, 1930",51,38,64,2.74,423,2
"19300301March, 1930",36.2,23.9,48.4,0.89,888,
"19300201February, 1930",34,24,44,0.66,871,
"19300101January, 1930",8.7,-1.3,18.7,1.29,"1,735",
"19291201December, 1929",23,14.6,31.4,0.4,"1,290",
"19291101November, 1929",30.5,21,40,1.18,"1,026",
"19291001October, 1929",50.6,39.2,62,2.94,450,3
"19290901September, 1929",61.4,50.1,72.7,3.78,142,44
"19290801August, 1929",71,58.5,83.5,2.49,25,202
"19290701July, 1929",73.5,62.2,84.9,4.2,9,273
"19290601June, 1929",66.8,54.8,78.8,2.86,63,118
"19290501May, 1929",57,45.3,68.7,2.39,273,29
"19290401April, 1929",50.1,39,61.1,4.49,439,1
"19290301March, 1929",37.8,27.4,48.3,1.39,832,
"19290201February, 1929",12.5,2.3,22.7,1.32,"1,468",
"19290101January, 1929",8.2,-2,18.5,2.01,"1,753",
"19281201December, 1928",27,18.4,35.6,0.87,"1,176",
"19281101November, 1928",37,28.9,45.1,3.77,832,
"19281001October, 1928",53,41.4,64.6,3.64,373,10
"19280901September, 1928",59.5,46.6,72.4,2.94,191,24
"19280801August, 1928",71.9,60.2,83.7,6.32,18,233
"19280701July, 1928",73.3,61.7,84.9,4.33,10,267
"19280601June, 1928",63.9,52.6,75.1,5.38,104,74
"19280501May, 1928",61.7,48,75.4,2.49,173,72
"19280401April, 1928",43.1,31.1,55.2,2.19,649,
"19280301March, 1928",37.6,26.1,49.2,1.45,849,
"19280201February, 1928",27.1,17.8,36.3,1.93,"1,055",
"19280101January, 1928",23.3,13.8,32.8,0.16,"1,291",
"19271201December, 1927",17,6.7,27.3,1.05,"1,462",
"19271101November, 1927",35.9,26.5,45.4,0.93,856,
"19271001October, 1927",54.2,41.1,67.3,3.21,344,13
"19270901September, 1927",66.3,54.6,77.9,4.76,65,111
"19270801August, 1927",66.9,54,79.8,2.4,65,122
"19270701July, 1927",72.2,58.9,85.6,1.92,14,239
"19270601June, 1927",65.8,54.5,77.1,2.24,78,100
"19270501May, 1927",57.6,46.9,68.3,4.72,259,33
"19270401April, 1927",48.1,38.2,58,4.77,501,
"19270301March, 1927",38.4,28.5,48.3,1.88,810,
"19270201February, 1927",29.2,19.8,38.6,1.13,993,
"19270101January, 1927",19.6,10.9,28.4,0.29,"1,405",
"19261201December, 1926",20.1,11.5,28.6,1.05,"1,378",
"19261101November, 1926",30.7,22.1,39.4,2.11,"1,020",
"19261001October, 1926",49.9,39.2,60.6,1.54,468,1
"19260901September, 1926",62,52.6,71.4,9.56,132,51
"19260801August, 1926",72.6,61.1,84,3.76,15,250
"19260701July, 1926",74.2,62.4,86,3.82,8,288
"19260601June, 1926",65.4,52.5,78.4,4.18,86,93
"19260501May, 1926",63.8,50,77.5,2.64,139,99
"19260401April, 1926",45,31.5,58.4,0.95,608,
"19260301March, 1926",30.8,20.6,41,0.98,"1,067",
"19260201February, 1926",29.7,21.3,38,0.73,988,
"19260101January, 1926",20.6,11.1,30.2,1.01,"1,368",
"19251201December, 1925",19,10,27.9,1.36,"1,436",
"19251101November, 1925",34.3,23.2,45.4,0.73,924,
"19251001October, 1925",39,29.8,48.3,2.87,796,
"19250901September, 1925",67.9,56.4,79.5,5.04,46,137
"19250801August, 1925",71.6,58.9,84.2,3.43,20,222
"19250701July, 1925",73.5,60.6,86.3,2.71,10,272
"19250601June, 1925",69.6,58,81.2,6.37,32,174
"19250501May, 1925",56.9,42.4,71.4,1.15,282,27
"19250401April, 1925",55.4,42.2,68.7,2.22,300,14
"19250301March, 1925",38.8,25.6,52,0.91,813,
"19250201February, 1925",26.8,16.5,37.1,0.78,"1,062",
"19250101January, 1925",17.4,7.5,27.4,0.36,"1,459",
"19241201December, 1924",13.6,4.5,22.6,1.71,"1,579",
"19241101November, 1924",37,25.9,48.2,0.61,835,
"19241001October, 1924",56.6,43.1,70.2,0.82,280,21
"19240901September, 1924",57.8,46.3,69.4,3,231,15
"19240801August, 1924",70.7,59.7,81.6,5.47,27,199
"19240701July, 1924",69.4,57.2,81.6,3.74,31,169
"19240601June, 1924",66,55.3,76.7,7.94,75,105
"19240501May, 1924",53.4,41,65.8,1.68,369,13
"19240401April, 1924",49.5,36.9,62,1.35,460,
"19240301March, 1924",30.6,23,38.2,2.71,"1,059",
"19240201February, 1924",24.4,14.8,34,1.21,"1,139",
"19240101January, 1924",12,1.4,22.7,0.76,"1,631",
"19231201December, 1923",31.9,22.5,41.2,0.77,"1,017",
"19231101November, 1923",38.4,27.6,49.2,0.59,798,
"19231001October, 1923",47.4,35.9,58.9,1.22,543,
"19230901September, 1923",63.2,52.4,74,5.95,116,60
"19230801August, 1923",69.7,58,81.2,5.52,33,180
"19230701July, 1923",75.9,63.7,88.2,1.77,2,344
"19230601June, 1923",70.4,60,80.8,4.88,25,195
"19230501May, 1923",58.7,46.6,70.9,2.78,231,42
"19230401April, 1923",47.2,34.6,59.8,2.08,532,
"19230301March, 1923",28.3,17,39.5,2.85,"1,136",
"19230201February, 1923",18.6,7.4,29.9,0.41,"1,301",
"19230101January, 1923",24.7,16,33.4,0.81,"1,249",
"19221201December, 1922",22.2,11.8,32.7,0.35,"1,315",
"19221101November, 1922",40.6,32.3,48.8,3.61,728,
"19221001October, 1922",54.8,41.2,68.3,1.73,329,14
"19220901September, 1922",66,53.5,78.6,2.08,71,102
"19220801August, 1922",72.9,60.8,85,2.85,14,254
"19220701July, 1922",70.9,59.6,82.2,6.38,21,205
"19220601June, 1922",71.5,58.9,84,1.77,20,214
"19220501May, 1922",62.7,51.2,74.2,3.47,150,89
"19220401April, 1922",48.7,37.2,60.3,3.01,487,
"19220301March, 1922",37,27.2,46.8,1.9,864,
"19220201February, 1922",22.4,10.9,33.8,1.58,"1,174",
"19220101January, 1922",18,7.3,28.7,0.84,"1,448",
"19211201December, 1921",26.4,16.4,36.3,1.04,"1,192",
"19211101November, 1921",31.9,22.9,40.8,0.58,986,
"19211001October, 1921",53.3,40.8,65.7,1.96,375,10
"19210901September, 1921",66.2,54.4,78,6.69,68,107
"19210801August, 1921",71.3,59.7,82.9,5.02,22,215
"19210701July, 1921",77.3,65.1,89.6,2.59,,391
"19210601June, 1921",74,62.5,85.6,3.63,9,283
"19210501May, 1921",62.6,50.9,74.3,4.3,152,88
"19210401April, 1921",51.5,39.2,63.7,3.37,406,3
"19210301March, 1921",41.8,30.1,53.4,1.59,717,4
"19210201February, 1921",29.6,19.2,40,0.75,991,
"19210101January, 1921",26.5,18.3,34.6,0.48,"1,187",
"19201201December, 1920",24.7,16.8,32.5,1.18,"1,240",
"19201101November, 1920",33.8,25.2,42.3,2.22,932,
"19201001October, 1920",56.5,43.9,69.1,2.11,278,22
"19200901September, 1920",65.4,53.5,77.4,3.23,79,95
"19200801August, 1920",68.4,55.6,81.1,3.4,44,153
"19200701July, 1920",71.6,60,83.4,3.97,17,220
"19200601June, 1920",70,58.5,81.5,3.35,28,184
"19200501May, 1920",58.7,46.9,70.5,3.3,235,40
"19200401April, 1920",41.4,31.4,51.5,4.4,696,
"19200301March, 1920",36.9,25.5,48.2,2.95,863,
"19200201February, 1920",22.6,14.6,30.7,0.52,"1,191",
"19200101January, 1920",14.7,5.7,23.7,0.43,"1,569",
"19191201December, 1919",13.3,5,21.6,0.57,"1,603",
"19191101November, 1919",32,22.5,41.5,3.41,981,
"19191001October, 1919",49.5,38.7,60.3,3.17,462,3
"19190901September, 1919",66.4,54.2,78.6,5.3,66,110
"19190801August, 1919",70.6,58.1,83.1,2.63,25,200
"19190701July, 1919",76.8,64.2,89.4,2.74,1,368
"19190601June, 1919",71.3,61,81.6,5.85,19,217
"19190501May, 1919",57.5,45.8,69.2,3.07,267,30
"19190401April, 1919",47.6,37.5,57.8,4.79,508,
"19190301March, 1919",36.4,25.3,47.5,2.26,880,
"19190201February, 1919",23.7,14.4,33.1,2.37,"1,144",
"19190101January, 1919",25.2,15.2,35.2,0.24,"1,237",
"19181201December, 1918",30.9,23.2,38.6,1.23,"1,052",
"19181101November, 1918",38.1,29.1,47.1,2.03,797,
"19181001October, 1918",53.9,42.6,65.2,3.6,347,12
"19180901September, 1918",57.5,44.5,70.6,1.84,240,15
"19180801August, 1918",75,62.6,87.4,3.59,7,320
"19180701July, 1918",72.5,60.1,84.9,3.31,14,243
"19180601June, 1918",70.2,58.7,81.8,5.2,31,182
"19180501May, 1918",64.3,51.5,77.1,6.85,126,111
"19180401April, 1918",44,31.8,56.2,2.3,627,
"19180301March, 1918",41.9,28.1,55.8,0.65,719,5
"19180201February, 1918",22,9.9,34.1,0.96,"1,198",
"19180101January, 1918",7.2,-2.6,17.1,0.98,"1,788",
"19171201December, 1917",13.3,4.4,22.2,0.55,"1,590",
"19171101November, 1917",39.5,28.9,50.1,0.27,766,
"19171001October, 1917",41.8,30.2,53.4,1.34,718,
"19170901September, 1917",61.8,50.3,73.3,2.87,143,44
"19170801August, 1917",68.6,55.7,81.6,2.36,42,158
"19170701July, 1917",74,61.9,86.1,2.36,8,287
"19170601June, 1917",65.6,54.5,76.7,6.57,79,100
"19170501May, 1917",54.7,42.2,67.2,3.91,331,18
"19170401April, 1917",44.8,34.3,55.4,4.39,596,
"19170301March, 1917",33.7,22.9,44.5,1.78,954,
"19170201February, 1917",14.2,1.8,26.6,0.37,"1,417",
"19170101January, 1917",15.5,4.8,26.2,0.85,"1,528",
"19161201December, 1916",17.3,6.5,28.2,1.02,"1,465",
"19161101November, 1916",36,25.6,46.4,1.54,862,
"19161001October, 1916",49.9,37.7,62,2.13,464,3
"19160901September, 1916",61.7,49.1,74.3,3.85,140,45
"19160801August, 1916",73.4,60.7,86,2.68,11,277
"19160701July, 1916",79.3,66.2,92.3,1.76,,443
"19160601June, 1916",64,52.8,75.2,3.71,104,75
"19160501May, 1916",59.2,47.6,70.9,4.75,222,45
"19160401April, 1916",46.4,35.4,57.4,2.49,549,
"19160301March, 1916",34.2,22.8,45.6,1.54,950,
"19160201February, 1916",17.8,8.3,27.3,0.57,"1,316",
"19160101January, 1916",16.4,6.5,26.3,2.46,"1,476",
"19151201December, 1915",23.3,15.3,31.3,0.66,"1,295",
"19151101November, 1915",38.7,28.1,49.3,1.9,786,
"19151001October, 1915",53.2,40.9,65.5,1.28,373,10
"19150901September, 1915",62.8,52.3,73.4,6.08,118,60
"19150801August, 1915",65.2,53.8,76.6,2.82,89,95
"19150701July, 1915",69,59,79,8.06,33,165
"19150601June, 1915",64.5,53.4,75.6,4.1,95,84
"19150501May, 1915",55.6,44.6,66.5,7.35,313,21
"19150401April, 1915",56.2,43.4,69,1.32,276,17
"19150301March, 1915",28.4,20.8,36,0.92,"1,121",
"19150201February, 1915",27.8,20.7,34.9,2.86,"1,031",
"19150101January, 1915",15.8,6.9,24.7,1.63,"1,526",
"19141201December, 1914",14.2,5.6,22.9,1.3,"1,557",
"19141101November, 1914",39.4,27.1,51.8,0.21,766,
"19141001October, 1914",54.9,43.9,65.8,3.25,323,14
"19140901September, 1914",63.6,51.8,75.4,7.47,109,66
"19140801August, 1914",72.9,59.9,85.9,2.19,15,257
"19140701July, 1914",76.2,63.4,88.9,2.28,2,351
"19140601June, 1914",71.7,60.4,83,5.69,21,221
"19140501May, 1914",61.7,49.2,74.2,3.31,170,75
"19140401April, 1914",48,36.4,59.5,2.49,502,
"19140301March, 1914",33.8,23.9,43.6,1.77,963,
"19140201February, 1914",15.6,5.1,26.1,0.83,"1,383",
"19140101January, 1914",26.2,16.9,35.4,0.86,"1,198",
"19131201December, 1913",30.4,22,38.9,0.97,"1,059",
"19131101November, 1913",42.3,33.2,51.4,1.17,676,
"19131001October, 1913",48.2,36.7,59.7,3.01,511,
"19130901September, 1913",63.5,51.5,75.6,3.37,108,67
"19130801August, 1913",75.8,62.6,89,2.76,6,338
"19130701July, 1913",75.7,62.9,88.6,1.86,3,342
"19130601June, 1913",71,58.7,83.2,3.31,22,203
"19130501May, 1913",58.8,48.1,69.5,6.33,231,43
"19130401April, 1913",49.3,37.2,61.4,3.17,464,
"19130301March, 1913",30.7,19.3,42.1,2.5,"1,059",
"19130201February, 1913",18.6,7.3,29.9,0.82,"1,295",
"19130101January, 1913",19.3,8.3,30.2,0.81,"1,406",
"19121201December, 1912",27.6,16.8,38.5,0.71,"1,149",
"19121101November, 1912",38.5,26.9,50,0.97,795,
"19121001October, 1912",51.1,38.7,63.5,3.06,431,5
"19120901September, 1912",61.3,50.6,72.1,3.99,142,44
"19120801August, 1912",70.2,58.8,81.6,3.85,29,193
"19120701July, 1912",74.1,61.9,86.3,3.76,7,293
"19120601June, 1912",65.8,53.3,78.2,2.67,74,106
"19120501May, 1912",62,49.6,74.3,3.17,167,78
"19120401April, 1912",49,37.4,60.5,2.61,478,
"19120301March, 1912",23.8,14,33.6,1.96,"1,278",
"19120201February, 1912",16.7,7.6,25.8,1.15,"1,360",
"19120101January, 1912",2.4,-6.7,11.5,0.52,"1,942",
"19111201December, 1911",26.3,18.4,34.3,2.51,"1,181",
"19111101November, 1911",28.2,18.4,38.1,1.43,"1,099",
"19111001October, 1911",47.6,38,57.1,3.42,534,
"19110901September, 1911",64.8,53.3,76.3,5,92,84
"19110801August, 1911",70.9,58.3,83.4,3.48,26,206
"19110701July, 1911",75,61,89,2.4,3,318
"19110601June, 1911",75,61.4,88.5,1.91,7,303
"19110501May, 1911",64.5,51.8,77.2,3.92,121,116
"19110401April, 1911",45.9,34.9,56.9,3.06,575,
"19110301March, 1911",38.3,25.5,51,0.87,831,
"19110201February, 1911",25.9,17,34.8,2.76,"1,085",
"19110101January, 1911",18.4,7.9,28.9,0.87,"1,437",
"19101201December, 1910",21.6,12.2,30.9,0.37,"1,347",
"19101101November, 1910",31.7,21.8,41.5,0.34,"1,007",
"19101001October, 1910",54,40.9,67.2,0.82,352,12
"19100901September, 1910",62.4,51.1,73.7,3.74,127,53
"19100801August, 1910",71.4,59.3,83.5,4.09,19,227
"19100701July, 1910",74.2,60.6,87.8,1.85,6,302
"19100601June, 1910",69,55.6,82.3,2.01,37,159
"19100501May, 1910",54.9,42.8,67,3.28,325,19
"19100401April, 1910",51.7,38,65.3,1.52,403,3
"19100301March, 1910",47.7,33.8,61.5,0.16,559,17
"19100201February, 1910",16.4,5.6,27.3,0.44,"1,356",
"19100101January, 1910",16.1,7.3,25,1.59,"1,514",
"19091201December, 1909",13.4,5.9,20.8,2.17,"1,590",
"19091101November, 1909",40.8,30.6,50.9,5.35,711,
"19091001October, 1909",48.4,36.8,60,2.05,518,
"19090901September, 1909",61.5,50.3,72.8,3.64,146,42
"19090801August, 1909",75.4,63.3,87.6,1.88,6,329
"19090701July, 1909",71.8,61.5,82.1,4.69,16,224
"19090601June, 1909",68.6,58.1,79.2,6.29,41,153
"19090501May, 1909",57.2,45,69.4,4.37,271,30
"19090401April, 1909",42.9,32,53.8,4.49,656,
"19090301March, 1909",31.3,22.6,40.1,1.51,"1,039",
"19090201February, 1909",24.7,14.8,34.6,1.56,"1,117",
"19090101January, 1909",19.6,10.8,28.4,1.67,"1,398",
"19081201December, 1908",25.5,16.1,35,0.58,"1,224",
"19081101November, 1908",37.5,26.5,48.5,1.54,821,
"19081001October, 1908",50,39,61.1,3.34,460,3
"19080901September, 1908",67,53.6,80.3,1.25,61,115
"19080801August, 1908",69.4,57.6,81.1,4.75,36,172
"19080701July, 1908",72.7,61.2,84.2,3.66,11,256
"19080601June, 1908",66.6,56.4,76.9,5.49,63,118
"19080501May, 1908",59,47.9,70,8.12,226,44
"19080401April, 1908",49.4,37.1,61.8,2.29,471,
"19080301March, 1908",36.8,26.2,47.3,1.63,870,
